competitorId,competitorName,firstName,lastName,gender,genderId,age,ageNull,height,heightNull,weight,weightNull,bmi,bmiNull,affiliateName,affiliateId,countryOfOriginName,countryOfOriginCode,regionName,regionId,status,statusId,year,overallRank,overallScore,openCompetitor,openRank,openScore,gamesCompetitions,openCompetitions
1616,Russ Greene,Russ,Greene,M,1,20,0,178.0,0,83.0,0,26.19618735008206,0,,0,,0,,0,ACT,1,2007,11,232,0,1000,5000,1,0
1616,Russ Greene,Russ,Greene,M,1,21,0,178.0,0,83.0,0,26.19618735008206,0,,0,,0,,0,ACT,1,2008,53,21,0,1000,5000,2,0
1685,Christopher Woods,Christopher,Woods,M,1,29,0,163.0,0,82.0,0,30.863035868869737,0,,0,,0,,0,ACT,1,2008,32,19,0,1000,5000,1,0
1690,Travis Mayer,Travis,Mayer,M,1,23,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit Passion,7104,United States,1,North America,1,ACT,1,2014,29,483,1,17,566,1,1
1690,Travis Mayer,Travis,Mayer,M,1,25,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit Passion,7104,United States,1,North America,1,ACT,1,2016,10,702,1,3,86,2,2
1690,Travis Mayer,Travis,Mayer,M,1,26,0,181.0,0,93.0,0,28.387411861664784,0,,0,United States,1,North America,1,ACT,1,2017,12,674,1,56,885,3,3
1690,Travis Mayer,Travis,Mayer,M,1,28,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit Passion,7104,United States,1,North America,1,CUT,4,2019,12,368,1,14,365,4,4
1690,Travis Mayer,Travis,Mayer,M,1,29,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit Passion,7104,United States,1,North America,1,ACT,1,2020,19,0,1,14,232,4,5
1690,Travis Mayer,Travis,Mayer,M,1,30,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit UNTD,7104,United States,1,North America,1,ACT,1,2021,12,822,1,96,1731,5,6
1690,Travis Mayer,Travis,Mayer,M,1,31,0,181.0,0,93.0,0,28.387411861664784,0,CrossFit UNTD,7104,United States,1,North America,1,ACT,1,2022,18,685,1,140,870,6,7
1721,Jeremy Mghenyi,Jeremy,Mghenyi,M,1,28,0,173.0,0,90.0,0,30.071168431955627,0,CrossFit Progression,11016,Kenya,59,Africa,5,CUT,4,2019,87,0,1,1000,5000,0,1
1812,Miranda Oldroyd,Miranda,Oldroyd,F,2,25,0,166.0,0,64.0,0,23.225431847873423,0,,0,,0,,0,ACT,1,2008,22,27,0,1000,5000,1,1
1819,Justin Allen,Justin,Allen,M,1,25,0,183.0,0,95.0,0,28.367523664486843,0,,0,United States,1,North America,1,CUT,4,2012,26,397,1,11,463,1,1
1819,Justin Allen,Justin,Allen,M,1,27,0,183.0,0,95.0,0,28.367523664486843,0,,0,United States,1,North America,1,ACT,1,2013,17,607,1,14,351,2,2
1910,Emily Beers,Emily,Beers,F,2,30,0,165.37482517482516,1,65.66385372714487,1,24.01308087921364,1,CrossFit Vancouver,889,Canada,5,North America,1,CUT,4,2014,37,310,1,495,4470,1,1
2006,Eric Jones,Eric,Jones,M,1,22,0,173.0,0,84.0,0,28.06642386982525,0,,0,,0,,0,ACT,1,2008,101,30,0,1000,5000,1,1
2088,Camilla Salomonsson Hellman,Camilla,Salomonsson Hellman,F,2,27,0,165.0,0,69.0,0,25.344352617079892,0,CrossFit Nordic,1009,Sweden,11,Europe,4,ACT,1,2018,24,482,1,51,1313,1,1
2088,Camilla Salomonsson Hellman,Camilla,Salomonsson Hellman,F,2,28,0,165.0,0,69.0,0,25.344352617079892,0,,0,Sweden,11,Europe,4,CUT,4,2019,28,208,1,27,585,2,2
2088,Camilla Salomonsson Hellman,Camilla,Salomonsson Hellman,F,2,29,0,165.0,0,69.0,0,25.344352617079892,0,CrossFit Nordic,1009,Sweden,11,Europe,4,ACT,1,2020,23,0,1,13,171,2,3
2099,Harriet Roberts,Harriet,Roberts,F,2,28,0,171.0,0,68.0,0,23.25501863821347,0,CrossFit Athletic,2414,New Zealand,2,Oceania,7,ACT,1,2020,28,0,1,59,601,0,1
2386,Trish Davis,Trish,Davis,F,2,27,0,173.0,0,70.0,0,23.38868655818771,0,,0,,0,,0,ACT,1,2008,28,29,0,1000,5000,1,1
2476,Luke Schafer,Luke,Schafer,M,1,26,0,173.0,0,84.0,0,28.06642386982525,0,CrossFit Kilo II,17335,United States,1,North America,1,ACT,1,2020,22,0,1,46,592,0,1
2517,Elvar Þór Karlsson,Elvar Þór,Karlsson,M,1,20,0,177.3722891566265,1,88.37544696066746,1,28.084429605483873,1,,0,Iceland,6,Europe,4,CUT,4,2011,42,92,1,209,2682,1,1
2519,Michele Fumagalli,Michele,Fumagalli,F,2,30,0,166.0,0,71.0,0,25.76571345623458,0,CrossFit Thunderbolt,17605,United States,1,North America,1,WD,2,2018,40,28,1,112,1981,1,1
2536,Samantha Briggs,Samantha,Briggs,F,2,28,0,170.0,0,62.0,0,21.453287197231838,0,,0,,0,,0,CUT,4,2010,19,105,0,1000,5000,1,1
2536,Samantha Briggs,Samantha,Briggs,F,2,29,0,170.0,0,62.0,0,21.453287197231838,0,,0,United Kingdom,10,Europe,4,ACT,1,2011,4,752,1,3,57,2,1
2536,Samantha Briggs,Samantha,Briggs,F,2,31,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Black Five,4098,,0,Europe,4,ACT,1,2013,1,920,1,1,16,3,2
2536,Samantha Briggs,Samantha,Briggs,F,2,33,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Soul Miami,1563,United States,1,North America,1,ACT,1,2015,4,735,1,82,1621,4,3
2536,Samantha Briggs,Samantha,Briggs,F,2,34,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Black Five,4098,United Kingdom,10,Europe,4,ACT,1,2016,4,874,1,2,30,5,4
2536,Samantha Briggs,Samantha,Briggs,F,2,35,0,170.0,0,62.0,0,21.453287197231838,0,,0,United Kingdom,10,Europe,4,ACT,1,2017,9,762,1,12,184,6,5
2536,Samantha Briggs,Samantha,Briggs,F,2,37,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Black Five,4098,United Kingdom,10,Europe,4,CUT,4,2019,17,318,1,20,406,7,6
2536,Samantha Briggs,Samantha,Briggs,F,2,38,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Black Five,4098,United Kingdom,10,Europe,4,ACT,1,2020,25,0,1,134,1270,7,7
2536,Samantha Briggs,Samantha,Briggs,F,2,39,0,170.0,0,62.0,0,21.453287197231838,0,CrossFit Black Five,4098,United Kingdom,10,Europe,4,CUT,4,2021,21,436,1,80,1136,8,8
2559,Steven Fawcett,Steven,Fawcett,M,1,27,0,173.0,0,85.0,0,28.40054796351365,0,CrossFit JST,5954,United Kingdom,10,Europe,4,ACT,1,2015,26,454,1,22,1048,1,1
2564,Breanne Feudale,Breanne,Feudale,F,2,28,0,153.0,0,55.0,0,23.49523687470631,0,,0,,0,,0,CUT,4,2009,45,145,0,1000,5000,1,1
2615,Daniel Hershey,Daniel,Hershey,M,1,25,0,188.0,0,103.0,0,29.14214576731553,0,,0,Japan,7,Asia,6,CUT,4,2011,43,92,1,781,5000,1,1
2615,Daniel Hershey,Daniel,Hershey,M,1,25,0,188.0,0,103.0,0,29.14214576731553,0,,0,,0,Asia,6,CUT,4,2012,33,357,1,900,5000,2,2
2687,Jessica Core,Jessica,Core,F,2,30,0,158.0,0,62.0,0,24.83576349943919,0,CrossFit Fort Vancouver,1792,United States,1,North America,1,ACT,1,2015,34,367,1,16,607,1,1
2698,Colin Jenkins,Colin,Jenkins,M,1,20,0,176.0,0,82.0,0,26.47210743801653,0,,0,,0,,0,ACT,1,2008,77,24,0,1000,5000,1,1
2725,Noah Ohlsen,Noah,Ohlsen,M,1,23,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2014,8,761,1,20,596,1,1
2725,Noah Ohlsen,Noah,Ohlsen,M,1,24,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2015,8,693,1,16,886,2,2
2725,Noah Ohlsen,Noah,Ohlsen,M,1,25,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2016,15,608,1,1,41,3,3
2725,Noah Ohlsen,Noah,Ohlsen,M,1,26,0,171.0,0,87.0,0,29.75274443418488,0,,0,United States,1,North America,1,ACT,1,2017,4,788,1,2,118,4,4
2725,Noah Ohlsen,Noah,Ohlsen,M,1,27,0,171.0,0,87.0,0,29.75274443418488,0,CrossFit Passion,7104,United States,1,North America,1,ACT,1,2018,6,786,1,25,1362,5,5
2725,Noah Ohlsen,Noah,Ohlsen,M,1,28,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2019,2,949,1,60,879,6,6
2725,Noah Ohlsen,Noah,Ohlsen,M,1,29,0,171.0,0,86.0,0,29.410758865975858,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2020,4,540,1,6,127,7,7
2725,Noah Ohlsen,Noah,Ohlsen,M,1,30,0,171.0,0,86.0,0,29.410758865975858,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2021,10,873,1,6,272,8,8
2725,Noah Ohlsen,Noah,Ohlsen,M,1,31,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2022,12,780,1,107,696,9,9
2725,Noah Ohlsen,Noah,Ohlsen,M,1,32,0,171.0,0,87.0,0,29.75274443418488,0,Peak 360 CrossFit,2509,United States,1,North America,1,ACT,1,2023,0,0,1,84,2311,9,10
2766,Lukas Esslinger,Lukas,Esslinger,M,1,23,0,181.0,0,91.0,0,27.776929886145112,0,CrossFit Kreis 9,12469,Switzerland,14,Europe,4,ACT,1,2016,21,511,1,58,720,1,1
2766,Lukas Esslinger,Lukas,Esslinger,M,1,24,0,181.0,0,91.0,0,27.776929886145112,0,,0,Switzerland,14,Europe,4,ACT,1,2017,18,530,1,49,820,2,2
2766,Lukas Esslinger,Lukas,Esslinger,M,1,25,0,181.0,0,91.0,0,27.776929886145112,0,CrossFit Kreis 9,12469,Switzerland,14,Europe,4,ACT,1,2018,17,648,1,69,2116,3,3
